Custodian,src_Destination_Table,Source_File,Date_Format,Header_Delimiter,Date_Position_OR_Column,Additional_Delimiter,File_Type,XLS_to_CSV,XLS_Sheet_Name,Number_Of_Quarters,Unzip_File,Zip_File_Name,Filter_File_Name,Combine_Files,Remove_Header_Trailer,Num_Header_Lines,Num_Trailer_Lines,Start_String,Additional_EOL,Remove_Additional_EOL,Add_Record_ID,First_Record_Identifier,Flatten_File,Add_Sequence,Fill_With_Blank_Lines,Strip_Leading_Characters,Sequence,Delimit_Fixed_Width,Config_File,Delimiter,Filter_Records,Inverted_Filter,Column_Number,Filter_Value,JSON_Scrapping_Needed,JSON_KeyName,Add_Column_Delimiter,New_Column_Date,New_Column_Index,New_Column_Count,Escape_Quotes,Insert_File_Control,File_Label,Server,Delete_Source_File,Snowflake_Account,Snowflake_Authenticator,Snowflake_Warehouse,Snowflake_Database,Snowflake_Schema,Snowflake_FileFormat,Stored_Procedure,Complexity,Priority,Notes
IWS,IWS_COMMISSION_RECREATION_IMP,IWS_Comm_Rec_Linear_\d+\.csv,,,,,CSV,false,,,false,,,false,true,1,0,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_COMMISSION_RECREATION,Low,,
IWS,IWS_COMMISSION_RECREATION_OVERRIDE_IMP,IWS_Comm_Rec_Linear_Override.*,,,,,CSV,false,,,false,,,false,false,,,,true,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_COMMISSION_RECREATION_OVERRIDE,Low,,
IWS,COGS_MUTUAL_FUND_DIRECTORY_IMP,Fidelity_Template.*,,,,,CSV,true,,,false,,,false,true,1,?,\nCertain,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_IWS_COGS_MUTUAL_FUND_DIRECTORY,Low,,
SWB,SWB_FEES_ABP_IMP,SWB_Fees_ABP_\d+\.csv,,,,,CSV,false,,,false,,,false,true,2,3,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_SWB_FEES_ABP,Low,,
SWB,SWB_FEES_ABP_OVERRIDE_IMP,SWB_Fees_ABP_\d+_Override.*,,,,,CSV,false,,,false,,,false,true,1,0,,true,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_SWB_FEES_ABP_OVERRIDE,Low,,
SWB,SWB_FEES_TBP_IMP,SWB_Fees_TBP_\d+\.csv,,,,,CSV,false,,,false,,,false,true,2,?,"\nGRAND TOTAL,",false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_SWB_FEES_TBP,Low,,
SWB,SWB_FEES_TBP_OVERRIDE_IMP,SWB_Fees_TBP_\d+_Override.*,,,,,CSV,false,,,false,,,false,true,1,0,,true,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_SWB_FEES_TBP_OVERRIDE,Low,,
SWB,SWB_POSITIONSEC_IMP,SWB_CRS.RPS.*,YYYYMMDD,|,5,,Pipe_Delimited,false,,,false,,,false,true,3,1,,false,false,false,,false,false,,,,false,,,true,false,1,D1,false,,false,,,,false,true,SWB_POSITIONSEC,DV-AW-SQL04,false,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,LOAD_SWB_PositionSEC,Medium,,Needs filtering on a column
SWB,SWB_POSITIONCBR_IMP,SWB_CRS.RPS.*,YYYYMMDD,|,5,,Pipe_Delimited,false,,,false,,,false,true,3,1,,false,false,false,,false,false,,,,false,,,true,false,1,D2,false,,false,,,,false,true,SWB_POSITIONCBR,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,LOAD_SWB_PositionCBR,Medium,,Needs filtering on a column
SWB,SWB_REPCODE_WRAP_BILL_TYPE_IMP,Schwab_Wrap_Non_Wrap_Report.*,,,,,CSV,true,Data,,false,,,false,true,1,0,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,false,,,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,COMMADELIMITED,LOAD_SWB_REPCODE_WRAP_BILL_TYPE,Low,,
SWB,SWB_TRANSACTION_IMP,SWB_CRS.TRN.*,YYYYMMDD,|,5,,Pipe_Delimited,false,,,false,,,false,true,3,1,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,true,SWB_TRANSACTION,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,LOAD_SWB_Transaction,Low,,
SWB,SWB_ACCOUNT_IMP,SWB_CRS.ACC.*,YYYYMMDD,|,5,,Pipe_Delimited,false,,,false,,,false,true,3,1,,false,false,false,,false,false,,,,false,,,false,,,,false,,false,,,,false,true,SWB_ACCOUNT,DV-AW-SQL04,,hightoweradvisors.us-east-1,,wh_load,ht_vendor_stage,src,PIPEDELIMITED,LOAD_SWB_Account,Low,,
